"9789998287532",   "Over in the Meadow",   "Ezra Jack Keats",   91.11
"9780743273565", "The Great Gatsby", "F. Scott Fitzgerald", 11.59
"0143039431", "The Grapes of Wrath", "John Steinbeck", 12.29
"9780451524935", "Nineteen Eighty-Four", "George Orwell", 6.86
"9780679722762", "Ulysses", "James Joyce", 3.99
"9780679723165", "Lolita", "Vladimir Nabokov", 11.89
"1451626657", "Catch-22", "Joseph Heller", 14.38
"7543321726", "The Catcher in the Rye", "J. D. Salinger", 5.99
"1400033411", "Beloved", "Toni Morrison", 12.19
"0679732241", "The Sound and the Fury", "William Faulkner", 12.99
"0446310786", "To Kill a Mockingbird", "Harper Lee", 6.88
"0345538374", "The Lord of the Rings", "J. R. R. Tolkien", 20.99
"0060883286", "One Hundred Years of Solitude", "Gabriel García Márquez", 13.27
"0060850523", "Brave New World", "Aldous Huxley", 13.20
"0156907399", "To the Lighthouse", "Virginia Woolf", 8.79
"9780679732761", "Invisible Man", "Ralph Ellison", 12.14
"1416548947", "Gone with the Wind", "Margaret Mitchell", 18.75
"1503278190", "Jane Eyre", "Charlotte Brontë", 10.99
"9780140283297", "On the Road", "Jack Kerouac", 14.85
"0486284735", "Pride and Prejudice", "Jane Austen", 4.50
"09780399501487", "Lord of the Flies", "William Golding", 11.00
"1853262374", "Middlemarch", "George Eliot", 4.99
"0143035002", "Anna Karenina", "Leo Tolstoy", 15.99
"9780451526342", "Animal Farm", "George Orwell", 8.68
"9780156711425", "A Passage to India", "E. M. Forster", 5.17
"0812969642", "In Search of Lost Time", "Marcel Proust", 8.99
" 1853260010", "Wuthering Heights", "Emily Brontë", 4.89
"0061992887", "The Chronicles of Narnia", "C. S. Lewis", 23.68
"9780156028356", "The Color Purple", "Alice Walker", 10.45
"9780812976533", "Midnight's Children", "Salman Rushdie", 14.86
"9780486280509", "A Portrait of the Artist as a Young Man", "James Joyce", 3.98
